Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,1400.00,1450.00,1400.00,1410.00,161550,0.71
Nov-17-2016,1438.00,1438.00,1335.00,1351.00,231360,-4.18
Nov-18-2016,1373.00,1390.00,1361.00,1380.00,327320,2.15
Nov-21-2016,1402.00,1436.00,1395.00,1422.00,140620,3.04
Nov-22-2016,1430.00,1437.00,1400.00,1420.00,86990,-0.14
Nov-23-2016,1430.00,1440.00,1390.00,1421.00,273340,0.07
Nov-24-2016,1429.00,1438.00,1424.00,1432.00,42520,0.77
Nov-25-2016,1439.00,1470.00,1435.00,1450.00,89530,1.26
Nov-28-2016,1450.00,1470.00,1450.00,1460.00,78220,0.69
Nov-29-2016,1432.00,1460.00,1414.00,1460.00,152080,0.00
Dec-01-2016,1460.00,1470.00,1403.00,1403.00,101830,-3.90
Dec-02-2016,1404.00,1411.00,1337.00,1390.00,163710,-0.93
Dec-05-2016,1390.00,1392.00,1355.00,1360.00,56680,-2.16
Dec-06-2016,1360.00,1384.00,1350.00,1369.00,68890,0.66
Dec-07-2016,1388.00,1400.00,1379.00,1395.00,64040,1.90
Dec-08-2016,1411.00,1449.00,1400.00,1447.00,77630,3.73
Dec-09-2016,1447.00,1457.00,1411.00,1445.00,123850,-0.14
Dec-12-2016,1445.00,1445.00,1403.00,1403.00,89840,-2.91
Dec-13-2016,1418.00,1442.00,1410.00,1420.00,74120,1.21
Dec-14-2016,1420.00,1438.00,1420.00,1430.00,31170,0.70
Dec-15-2016,1426.00,1438.00,1400.00,1429.00,32570,-0.07
Dec-16-2016,1438.00,1446.00,1426.00,1426.00,370560,-0.21
Dec-19-2016,1430.00,1437.00,1424.00,1430.00,115000,0.28
Dec-20-2016,1438.00,1450.00,1425.00,1440.00,102530,0.70
Dec-21-2016,1440.00,1483.00,1435.00,1445.00,132710,0.35
Dec-22-2016,1446.00,1449.00,1428.00,1441.00,102300,-0.28
Dec-23-2016,1440.00,1450.00,1435.00,1445.00,70260,0.28
Dec-27-2016,1435.00,1480.00,1435.00,1465.00,10580,1.38
Dec-28-2016,1465.00,1487.00,1459.00,1485.00,44240,1.37
Dec-29-2016,1484.00,1509.00,1479.00,1509.00,100760,1.62
Jan-03-2017,1514.00,1514.00,1450.00,1514.00,114170,0.33
Jan-04-2017,1514.00,1528.00,1501.00,1522.00,123970,0.53
Jan-05-2017,1520.00,1585.00,1520.00,1585.00,113640,4.14
Jan-06-2017,1580.00,1684.00,1576.00,1684.00,284810,6.25
Jan-09-2017,1680.00,1795.00,1669.00,1790.00,150980,6.29
Jan-10-2017,1760.00,1875.00,1730.00,1826.00,328150,2.01
Jan-11-2017,1820.00,1820.00,1776.00,1783.00,142140,-2.35
Jan-12-2017,1782.00,1782.00,1718.00,1740.00,39770,-2.41
Jan-13-2017,1730.00,1730.00,1680.00,1700.00,70540,-2.30
Jan-16-2017,1699.00,1730.00,1668.00,1703.00,79570,0.18
Jan-17-2017,1703.00,1704.00,1659.00,1670.00,68590,-1.94
Jan-18-2017,1670.00,1670.00,1636.00,1655.00,109040,-0.90
Jan-19-2017,1649.00,1690.00,1642.00,1688.00,103080,1.99
Jan-20-2017,1689.00,1716.00,1666.00,1682.00,73100,-0.36
Jan-23-2017,1705.00,1750.00,1672.00,1750.00,41000,4.04
Jan-24-2017,1750.00,1790.00,1720.00,1790.00,61430,2.29
Jan-25-2017,1788.00,1788.00,1740.00,1769.00,42820,-1.17
Jan-26-2017,1769.00,1793.00,1750.00,1780.00,33240,0.62
Jan-27-2017,1775.00,1810.00,1760.00,1805.00,26990,1.40
Jan-30-2017,1805.00,1806.00,1790.00,1794.00,13020,-0.61
Jan-31-2017,1794.00,1795.00,1720.00,1720.00,61740,-4.12
Feb-01-2017,1724.00,1778.00,1700.00,1700.00,53990,-1.16
Feb-02-2017,1715.00,1729.00,1685.00,1693.00,47740,-0.41
Feb-03-2017,1693.00,1693.00,1660.00,1675.00,71430,-1.06
Feb-06-2017,1683.00,1720.00,1666.00,1700.00,44840,1.49
Feb-07-2017,1700.00,1710.00,1670.00,1700.00,60010,0.00
Feb-08-2017,1721.00,1757.00,1721.00,1750.00,104240,2.94
Feb-09-2017,1754.00,1786.00,1754.00,1780.00,64060,1.71
Feb-10-2017,1800.00,1812.00,1780.00,1800.00,77060,1.12
Feb-13-2017,1800.00,1800.00,1771.00,1792.00,28420,-0.44
Feb-14-2017,1792.00,1810.00,1790.00,1795.00,65820,0.17
Feb-15-2017,1795.00,1810.00,1789.00,1790.00,66660,-0.28
Feb-16-2017,1780.00,1818.00,1780.00,1810.00,50840,1.12
Feb-17-2017,1794.00,1811.00,1780.00,1790.00,55770,-1.10
Feb-20-2017,1790.00,1818.00,1789.00,1793.00,106670,0.17
Feb-21-2017,1793.00,1794.00,1781.00,1790.00,32420,-0.17
Feb-22-2017,1790.00,1800.00,1772.00,1800.00,128090,0.56
Feb-23-2017,1800.00,1855.00,1780.00,1848.00,146010,2.67
Feb-24-2017,1848.00,1869.00,1831.00,1831.00,107800,-0.92
Feb-27-2017,1833.00,1833.00,1786.00,1800.00,28340,-1.69
Feb-28-2017,1800.00,1828.00,1780.00,1828.00,72070,1.56
Mar-01-2017,1828.00,1828.00,1788.00,1797.00,28850,-1.70
Mar-02-2017,1797.00,1835.00,1796.00,1800.00,49070,0.17
Mar-03-2017,1805.00,1835.00,1802.00,1835.00,37210,1.94
Mar-06-2017,1844.00,1871.00,1825.00,1835.00,104680,0.00
Mar-07-2017,1842.00,1899.00,1837.00,1899.00,80360,3.49
Mar-08-2017,1900.00,1989.00,1900.00,1988.00,172690,4.69
Mar-09-2017,1985.00,2004.00,1941.00,1970.00,102900,-0.91
Mar-10-2017,1984.00,1984.00,1887.00,1910.00,42220,-3.05
Mar-13-2017,1900.00,1960.00,1900.00,1945.00,52760,1.83
Mar-14-2017,1945.00,1975.00,1920.00,1949.00,55240,0.21
Mar-15-2017,1949.00,1974.00,1945.00,1950.00,53080,0.05
Mar-16-2017,1956.00,1974.00,1943.00,1950.00,77110,0.00
Mar-17-2017,1950.00,1962.00,1910.00,1910.00,98560,-2.05
Mar-20-2017,1910.00,1921.00,1890.00,1901.00,41790,-0.47
Mar-21-2017,1910.00,1939.00,1906.00,1913.00,85530,0.63
Mar-22-2017,1908.00,1929.00,1894.00,1929.00,29920,0.84
Mar-23-2017,1930.00,1950.00,1900.00,1945.00,46890,0.83
Mar-24-2017,1945.00,1955.00,1938.00,1944.00,34750,-0.05
Mar-27-2017,1942.00,1960.00,1910.00,1960.00,11260,0.82
Mar-28-2017,1964.00,1992.00,1943.00,1992.00,44240,1.63
Mar-29-2017,1992.00,2042.00,1992.00,2020.00,104840,1.41
Mar-30-2017,2020.00,2030.00,2010.00,2030.00,46410,0.50
Mar-31-2017,2030.00,2034.00,1990.00,2032.00,66120,0.10
Apr-03-2017,2030.00,2052.00,2026.00,2050.00,22460,0.89
Apr-04-2017,2054.00,2090.00,2054.00,2080.00,135880,1.46
Apr-05-2017,2060.00,2100.00,2050.00,2084.00,91630,0.19
Apr-06-2017,2088.00,2108.00,2050.00,2070.00,103590,-0.67
Apr-07-2017,2080.00,2100.00,2014.00,2070.00,38070,0.00
Apr-10-2017,2070.00,2100.00,2070.00,2100.00,39750,1.45
Apr-11-2017,2080.00,2100.00,2070.00,2078.00,74910,-1.05
