Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,660.00,678.50,660.00,665.00,343490,0.76
Nov-17-2016,670.00,683.00,665.00,665.50,539120,0.08
Nov-18-2016,665.50,671.00,662.00,665.00,262290,-0.08
Nov-21-2016,662.00,665.00,658.00,662.00,285940,-0.45
Nov-22-2016,662.00,662.00,622.50,622.50,718530,-5.97
Nov-23-2016,628.00,634.50,610.00,634.50,788670,1.93
Nov-24-2016,634.00,644.00,628.00,642.00,790080,1.18
Nov-25-2016,645.00,645.00,636.00,640.00,676850,-0.31
Nov-28-2016,640.00,640.00,623.00,625.00,633300,-2.34
Nov-29-2016,623.00,631.50,621.00,624.00,965010,-0.16
Dec-01-2016,640.00,640.00,626.00,630.00,1220000,0.96
Dec-02-2016,632.50,650.00,632.50,650.00,300240,3.17
Dec-05-2016,649.50,654.00,625.00,625.00,198900,-3.85
Dec-06-2016,626.00,634.00,626.00,634.00,212710,1.44
Dec-07-2016,634.00,649.50,630.00,645.00,176190,1.74
Dec-08-2016,650.00,653.00,648.00,650.00,442930,0.78
Dec-09-2016,658.00,659.50,645.00,650.00,630580,0.00
Dec-12-2016,650.00,650.00,624.50,645.00,218790,-0.77
Dec-13-2016,648.00,649.00,633.50,638.00,354430,-1.09
Dec-14-2016,638.00,651.00,638.00,650.00,924840,1.88
Dec-15-2016,644.00,660.50,638.00,651.00,359970,0.15
Dec-16-2016,633.00,651.00,633.00,651.00,275160,0.00
Dec-19-2016,635.50,650.00,630.00,637.00,203530,-2.15
Dec-20-2016,635.00,637.00,618.00,624.00,550270,-2.04
Dec-21-2016,624.00,629.00,614.00,618.00,605400,-0.96
Dec-22-2016,616.00,616.00,604.50,608.00,493770,-1.62
Dec-23-2016,603.00,615.50,602.00,615.00,335910,1.15
Dec-27-2016,615.00,627.00,605.00,627.00,93530,1.95
Dec-28-2016,628.00,657.00,627.00,657.00,151970,4.78
Dec-29-2016,656.00,656.00,636.50,655.00,450410,-0.30
Jan-03-2017,654.00,658.00,635.00,650.00,147450,-0.76
Jan-04-2017,650.00,663.00,641.00,650.00,333050,0.00
Jan-05-2017,657.00,690.00,650.00,689.00,781120,6.00
Jan-06-2017,680.00,690.00,678.00,690.00,482840,0.15
Jan-09-2017,690.00,690.00,670.00,690.00,402560,0.00
Jan-10-2017,688.00,694.50,682.00,690.00,452490,0.00
Jan-11-2017,685.00,708.00,680.00,680.00,478560,-1.45
Jan-12-2017,685.50,689.00,677.00,677.00,300280,-0.44
Jan-13-2017,677.00,685.50,677.00,681.00,181990,0.59
Jan-16-2017,681.00,688.00,679.50,686.50,91330,0.81
