Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,31.750,33.200,31.750,33.000,10400000,4.76
Nov-17-2016,33.100,33.950,33.100,33.950,14480000,2.88
Nov-18-2016,33.950,34.200,33.400,34.000,8980000,0.15
Nov-21-2016,34.000,34.000,32.350,33.000,12030000,-2.94
Nov-22-2016,33.000,33.000,31.600,31.600,15950000,-4.24
Nov-23-2016,31.750,31.750,30.200,30.600,22970000,-3.16
Nov-24-2016,30.650,31.150,30.650,31.000,26870000,1.31
Nov-25-2016,31.250,32.400,31.250,32.350,19240000,4.35
Nov-28-2016,32.500,33.150,32.000,32.600,19760000,0.77
Nov-29-2016,32.600,32.900,31.850,32.900,18120000,0.92
Dec-01-2016,33.000,33.700,32.900,33.400,26800000,1.52
Dec-02-2016,33.350,33.350,32.400,33.000,10550000,-1.20
Dec-05-2016,33.000,33.400,31.800,31.800,12410000,-3.64
Dec-06-2016,32.100,32.900,31.600,32.900,7560000,3.46
Dec-07-2016,32.600,32.900,32.450,32.800,12360000,-0.30
Dec-08-2016,32.950,34.450,32.950,34.450,13940000,5.03
Dec-09-2016,34.450,34.950,34.250,34.950,11950000,1.45
Dec-12-2016,34.800,34.800,32.950,33.000,19240000,-5.58
Dec-13-2016,33.200,33.250,32.250,32.500,20690000,-1.52
Dec-14-2016,32.600,32.850,32.000,32.350,12240000,-0.46
Dec-15-2016,32.050,32.050,31.600,31.750,9500000,-1.85
Dec-16-2016,31.850,32.250,31.550,31.550,41290000,-0.63
Dec-19-2016,31.800,32.000,30.800,31.200,11130000,-1.11
Dec-20-2016,31.200,31.400,30.300,31.300,11240000,0.32
Dec-21-2016,31.350,31.750,30.750,31.000,7500000,-0.96
Dec-22-2016,31.450,31.450,30.100,30.200,9600000,-2.58
Dec-23-2016,30.200,30.500,30.050,30.050,5650000,-0.50
Dec-27-2016,30.200,30.700,30.150,30.150,3850000,0.33
Dec-28-2016,30.800,31.700,30.300,31.700,8060000,5.14
Dec-29-2016,31.650,32.000,31.300,32.000,10400000,0.95
Jan-03-2017,32.000,32.000,31.250,32.000,2360000,0.00
Jan-04-2017,32.150,33.300,32.100,33.300,7580000,4.06
Jan-05-2017,33.300,34.850,32.950,34.150,17410000,2.55
Jan-06-2017,34.300,34.800,34.000,34.500,15330000,1.02
Jan-09-2017,34.400,34.450,33.950,33.950,9270000,-1.59
Jan-10-2017,34.000,34.500,33.950,34.400,8180000,1.33
Jan-11-2017,34.400,35.300,34.000,34.200,9240000,-0.58
Jan-12-2017,34.200,34.400,33.750,34.000,4540000,-0.58
Jan-13-2017,33.900,34.000,33.600,34.000,3920000,0.00
Jan-16-2017,34.000,34.600,33.800,34.300,5560000,0.88
Jan-17-2017,34.400,34.500,33.700,33.800,7710000,-1.46
Jan-18-2017,33.750,34.000,33.650,33.900,4810000,0.30
Jan-19-2017,33.950,34.900,33.750,34.900,9210000,2.95
Jan-20-2017,34.800,35.200,34.350,35.200,12260000,0.86
Jan-23-2017,35.200,36.500,35.000,36.500,8210000,3.69
Jan-24-2017,36.100,36.200,35.300,35.950,10010000,-1.51
Jan-25-2017,36.000,36.250,35.900,35.900,5540000,-0.14
Jan-26-2017,35.900,36.100,35.600,35.900,7320000,0.00
Jan-27-2017,35.900,35.950,35.350,35.350,6300000,-1.53
Jan-30-2017,35.400,35.950,35.400,35.850,6300000,1.41
