Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,42.90,42.90,42.00,42.65,2280000,-0.58
Nov-17-2016,44.00,44.45,42.65,42.95,1680000,0.70
Nov-18-2016,43.95,43.95,42.90,43.50,473200,1.28
Nov-21-2016,44.25,44.25,42.00,43.80,2780000,0.69
Nov-22-2016,42.75,43.00,42.20,42.45,2600000,-3.08
Nov-23-2016,42.45,43.20,41.70,42.40,2640000,-0.12
Nov-24-2016,42.80,42.80,42.40,42.55,862300,0.35
Nov-25-2016,42.55,43.05,42.10,42.90,1040000,0.82
Nov-28-2016,42.90,43.25,42.65,42.95,1030000,0.12
Nov-29-2016,43.00,43.20,42.60,42.90,4560000,-0.12
Dec-01-2016,43.60,44.40,42.50,42.50,1970000,-0.93
Dec-02-2016,43.20,43.20,42.50,43.00,925900,1.18
Dec-05-2016,43.00,43.00,42.50,42.95,422300,-0.12
Dec-06-2016,43.25,43.25,42.50,42.95,866100,0.00
Dec-07-2016,42.20,43.20,42.20,42.95,769900,0.00
Dec-08-2016,43.25,44.00,42.95,44.00,1300000,2.44
Dec-09-2016,44.00,44.45,43.90,44.40,1060000,0.91
Dec-12-2016,44.00,44.40,43.40,43.70,496000,-1.58
Dec-13-2016,44.70,44.70,43.60,43.70,646700,0.00
Dec-14-2016,43.80,44.15,43.50,43.95,930100,0.57
Dec-15-2016,43.95,44.10,42.65,42.65,863700,-2.96
Dec-16-2016,42.70,43.90,42.70,43.00,1050000,0.82
Dec-19-2016,43.00,43.00,42.70,43.00,2150000,0.00
Dec-20-2016,42.80,43.00,42.55,43.00,2290000,0.00
Dec-21-2016,43.65,43.65,42.85,43.10,1560000,0.23
Dec-22-2016,42.70,42.75,41.90,42.50,1200000,-1.39
Dec-23-2016,41.85,42.50,41.50,41.50,966500,-2.35
Dec-27-2016,41.50,42.50,41.40,42.30,520700,1.93
Dec-28-2016,42.75,43.55,42.30,43.50,1110000,2.84
Dec-29-2016,43.50,43.50,41.70,41.70,3270000,-4.14
Jan-03-2017,42.15,42.15,41.70,42.00,1470000,0.72
Jan-04-2017,42.00,43.05,41.80,43.05,985200,2.50
Jan-05-2017,42.35,43.70,42.35,43.50,9730000,1.05
Jan-06-2017,43.30,43.85,43.00,43.45,3510000,-0.11
Jan-09-2017,43.80,43.80,43.20,43.30,1660000,-0.35
Jan-10-2017,43.50,43.85,43.00,43.70,1480000,0.92
Jan-11-2017,43.60,43.70,43.00,43.35,1410000,-0.80
Jan-12-2017,43.60,44.15,43.45,43.80,2720000,1.04
Jan-13-2017,43.80,44.00,43.50,43.85,1730000,0.11
Jan-16-2017,43.95,43.95,43.60,43.65,1040000,-0.46
Jan-17-2017,43.75,44.00,43.70,43.75,1100000,0.23
Jan-18-2017,44.00,44.00,43.55,43.60,1310000,-0.34
Jan-19-2017,43.70,44.10,43.60,44.05,2290000,1.03
Jan-20-2017,43.55,43.75,43.55,43.60,1360000,-1.02
Jan-23-2017,44.50,44.50,43.60,44.00,1100000,0.92
Jan-24-2017,44.05,44.05,43.70,43.85,1250000,-0.34
Jan-25-2017,43.90,44.00,43.60,43.90,1210000,0.11
Jan-26-2017,44.05,44.10,43.85,43.85,1460000,-0.11
Jan-27-2017,43.80,44.10,43.65,43.70,948700,-0.34
Jan-30-2017,43.75,43.75,43.30,43.60,691500,-0.23
Jan-31-2017,44.00,44.00,42.20,42.20,1970000,-3.21
Feb-01-2017,43.65,43.65,42.35,42.35,2420000,0.36
Feb-02-2017,42.60,43.40,42.30,42.40,3180000,0.12
Feb-03-2017,42.40,43.20,42.35,43.05,2380000,1.53
Feb-06-2017,43.05,43.40,42.45,43.40,1120000,0.81
Feb-07-2017,43.00,43.30,43.00,43.20,1110000,-0.46
Feb-08-2017,43.35,43.35,43.10,43.10,1130000,-0.23
Feb-09-2017,43.10,43.40,43.10,43.30,2150000,0.46
Feb-10-2017,43.40,43.45,43.25,43.45,1640000,0.35
Feb-13-2017,43.50,44.00,43.25,44.00,1870000,1.27
Feb-14-2017,43.25,43.95,43.25,43.45,1520000,-1.25
Feb-15-2017,43.80,43.80,42.25,43.00,1300000,-1.04
Feb-16-2017,43.00,44.15,43.00,43.40,996400,0.93
Feb-17-2017,44.00,44.00,42.80,43.00,2480000,-0.92
Feb-20-2017,43.50,43.50,42.90,43.00,1360000,0.00
Feb-21-2017,43.05,43.40,42.95,43.10,1300000,0.23
Feb-22-2017,43.00,44.00,43.00,43.75,1680000,1.51
Feb-23-2017,43.80,44.25,43.80,44.25,1240000,1.14
Feb-24-2017,44.30,44.30,43.50,43.50,893000,-1.69
Feb-27-2017,44.15,44.25,43.65,43.70,576600,0.46
Feb-28-2017,43.70,43.80,42.80,43.00,1430000,-1.60
Mar-01-2017,43.00,43.15,42.75,42.80,466900,-0.47
Mar-02-2017,42.75,43.75,42.75,43.10,1150000,0.70
Mar-03-2017,43.20,43.75,43.00,43.75,916000,1.51
Mar-06-2017,43.75,44.05,43.00,43.80,2130000,0.11
Mar-07-2017,43.85,43.90,43.10,43.45,2260000,-0.80
Mar-08-2017,43.50,43.90,43.50,43.80,1660000,0.81
Mar-09-2017,43.75,43.80,43.65,43.75,328600,-0.11
Mar-10-2017,43.75,43.75,43.00,43.00,525200,-1.71
Mar-13-2017,43.85,43.85,42.85,43.00,1220000,0.00
Mar-14-2017,43.60,43.60,43.00,43.10,767900,0.23
Mar-15-2017,43.10,43.55,43.10,43.50,2250000,0.93
Mar-16-2017,43.00,43.10,41.90,43.00,1200000,-1.15
Mar-17-2017,43.30,43.50,43.10,43.50,3090000,1.16
Mar-20-2017,43.40,43.40,42.75,43.00,1710000,-1.15
Mar-21-2017,43.20,43.30,42.30,42.30,1950000,-1.63
Mar-22-2017,42.30,43.00,42.05,42.70,1760000,0.95
Mar-23-2017,42.80,42.80,42.10,42.70,1400000,0.00
Mar-24-2017,42.70,42.70,42.00,42.10,2400000,-1.41
Mar-27-2017,42.30,42.30,41.40,41.55,1210000,-1.31
Mar-28-2017,41.50,42.10,41.50,42.10,1800000,1.32
Mar-29-2017,42.10,42.20,41.80,41.85,3730000,-0.59
Mar-30-2017,41.90,42.10,41.75,41.85,1050000,0.00
Mar-31-2017,41.85,42.00,41.70,41.75,1870000,-0.24
Apr-03-2017,41.60,41.70,41.00,41.30,952700,-1.08
Apr-04-2017,41.90,41.90,41.40,41.70,1030000,0.97
Apr-05-2017,42.00,42.20,41.50,41.80,1760000,0.24
Apr-06-2017,42.00,42.00,41.60,42.00,790600,0.48
Apr-07-2017,41.90,42.30,41.80,42.20,1340000,0.48
Apr-10-2017,42.40,42.40,41.60,41.80,2210000,-0.95
Apr-11-2017,42.00,42.10,41.50,41.50,1260000,-0.72
Apr-12-2017,41.50,42.00,41.50,42.00,2089999,1.20
Apr-17-2017,41.95,42.00,41.30,41.30,2310000,-1.67
Apr-18-2017,42.00,42.20,41.40,41.65,1250000,0.85
Apr-19-2017,41.80,41.80,41.20,41.30,1120000,-0.84
Apr-20-2017,41.40,41.65,41.25,41.35,792900,0.12
Apr-21-2017,41.75,41.75,41.30,41.35,1060000,0.00
Apr-24-2017,41.40,41.80,41.40,41.55,424300,0.48
Apr-25-2017,41.70,43.70,41.55,43.00,4120000,3.49
Apr-26-2017,43.00,43.10,42.55,42.80,826700,-0.47
Apr-27-2017,42.80,42.80,42.20,42.50,1710000,-0.70
May-02-2017,42.45,42.55,41.80,42.00,1850000,-1.18
May-03-2017,42.00,42.35,41.85,42.00,567100,0.00
May-04-2017,42.00,42.30,41.80,41.95,1110000,-0.12
May-05-2017,41.90,42.00,41.20,41.20,2360000,-1.79
May-08-2017,41.35,41.90,41.30,41.60,1760000,0.97
May-09-2017,41.80,41.80,41.00,41.00,1730000,-1.44
May-10-2017,41.05,41.20,40.00,40.00,1970000,-2.44
May-11-2017,40.10,40.80,40.00,40.55,3040000,1.37
May-12-2017,40.75,40.75,40.00,40.30,1880000,-0.62
May-15-2017,40.45,40.45,39.65,39.80,1900000,-1.24
May-16-2017,40.00,40.10,39.60,39.75,1980000,-0.13
May-17-2017,40.10,40.10,39.90,40.00,1860000,0.63
May-18-2017,40.10,40.10,39.75,40.00,3650000,0.00
May-19-2017,40.00,40.00,39.80,39.90,1550000,-0.25
May-22-2017,39.90,40.10,39.55,39.65,1370000,-0.63
May-23-2017,40.00,40.00,39.55,39.70,1890000,0.13
May-24-2017,39.55,39.95,39.50,39.85,1210000,0.38
May-25-2017,39.90,39.95,39.50,39.60,1320000,-0.63
May-26-2017,39.85,39.85,39.55,39.60,1910000,0.00
May-29-2017,39.60,39.85,39.60,39.70,922600,0.25
May-30-2017,39.70,39.70,38.95,39.15,8000000,-1.39
May-31-2017,39.15,39.50,39.00,39.25,5210000,0.26
Jun-01-2017,39.30,39.60,39.20,39.40,2110000,0.38
Jun-02-2017,39.60,39.60,39.20,39.40,1360000,0.00
Jun-05-2017,39.50,39.60,38.80,38.80,1790000,-1.52
Jun-06-2017,39.00,39.15,38.60,38.70,2049999,-0.26
Jun-07-2017,38.70,39.00,38.70,38.85,3380000,0.39
Jun-08-2017,38.85,38.95,38.55,38.90,1760000,0.13
Jun-09-2017,38.90,38.90,38.70,38.75,2420000,-0.39
Jun-13-2017,38.90,38.90,38.35,38.50,987100,-0.65
Jun-14-2017,38.50,38.80,38.40,38.55,930600,0.13
Jun-15-2017,38.55,38.80,38.55,38.70,890500,0.39
Jun-16-2017,38.70,38.90,38.50,38.50,4210000,-0.52
Jun-19-2017,38.85,39.25,38.60,39.20,1070000,1.82
Jun-20-2017,39.30,39.70,39.30,39.60,1470000,1.02
Jun-21-2017,39.60,39.80,39.20,39.65,1470000,0.13
Jun-22-2017,39.80,40.00,39.60,39.80,3330000,0.38
Jun-23-2017,39.80,39.80,39.45,39.75,1060000,-0.13
Jun-27-2017,39.35,39.60,38.60,39.20,2009999,-1.38
Jun-28-2017,39.50,39.60,38.65,38.65,1090000,-1.40
Jun-29-2017,39.15,39.20,38.45,38.90,1710000,0.65
Jun-30-2017,38.90,38.90,38.45,38.90,1110000,0.00
Jul-03-2017,38.90,39.95,38.50,39.95,1360000,2.70
Jul-04-2017,39.50,39.50,38.60,38.90,1560000,-2.63
Jul-05-2017,39.00,39.55,39.00,39.55,2820000,1.67
Jul-06-2017,39.60,40.10,39.60,40.00,2460000,1.14
Jul-07-2017,40.00,41.00,39.80,40.20,2690000,0.50
Jul-10-2017,40.50,40.55,40.00,40.15,932500,-0.12
Jul-11-2017,40.25,40.25,39.70,40.00,552000,-0.37
Jul-12-2017,40.00,40.25,40.00,40.25,459700,0.63
Jul-13-2017,40.25,40.30,40.00,40.30,848900,0.12
Jul-14-2017,40.35,40.45,40.05,40.05,1890000,-0.62
Jul-17-2017,40.30,40.30,40.00,40.05,894800,0.00
Jul-18-2017,40.05,40.45,40.05,40.05,748500,0.00
Jul-19-2017,40.10,40.25,40.00,40.10,653200,0.12
Jul-20-2017,40.15,40.25,39.25,39.25,1060000,-2.12
Jul-21-2017,40.00,40.20,39.30,40.20,958000,2.42
Jul-24-2017,40.00,40.10,39.35,39.35,958100,-2.11
Jul-25-2017,39.45,40.00,39.40,39.40,416100,0.13
Jul-26-2017,39.40,39.90,39.40,39.65,958600,0.63
Jul-27-2017,39.80,40.30,39.80,40.00,1230000,0.88
Jul-28-2017,40.00,40.00,38.80,38.80,1040000,-3.00
Jul-31-2017,39.00,39.60,38.80,39.00,1760000,0.52
Aug-01-2017,39.00,39.40,38.95,39.05,398200,0.13
Aug-02-2017,39.50,39.50,38.85,39.00,1660000,-0.13
Aug-03-2017,39.40,39.75,39.00,39.70,1470000,1.79
Aug-04-2017,39.75,40.00,39.60,39.95,1510000,0.63
Aug-07-2017,39.95,40.00,39.45,39.90,865800,-0.13
Aug-08-2017,40.10,40.10,39.20,39.25,1430000,-1.63
Aug-09-2017,39.50,39.55,39.25,39.30,2960000,0.13
Aug-10-2017,39.50,39.50,39.25,39.30,1690000,0.00
Aug-11-2017,39.30,39.50,38.95,39.50,1190000,0.51
Aug-14-2017,39.70,39.80,39.05,39.25,503900,-0.63
Aug-15-2017,39.30,39.60,39.20,39.35,365500,0.25
Aug-16-2017,39.35,39.50,39.25,39.30,1490000,-0.13
Aug-17-2017,39.50,39.50,39.05,39.05,1090000,-0.64
Aug-18-2017,39.30,39.50,39.05,39.50,764100,1.15
Aug-22-2017,39.50,39.55,39.30,39.55,497700,0.13
Aug-23-2017,39.70,39.70,39.55,39.60,1230000,0.13
Aug-24-2017,39.60,39.95,39.60,39.95,973700,0.88
Aug-25-2017,39.95,40.00,39.70,39.90,495100,-0.13
Aug-29-2017,40.00,40.00,39.15,39.50,2430000,-1.00
Aug-30-2017,39.50,39.60,39.05,39.40,902000,-0.25
Aug-31-2017,39.40,39.50,39.10,39.50,1240000,0.25
Sep-04-2017,39.60,40.20,39.40,39.85,1040000,0.89
Sep-05-2017,39.90,40.20,39.00,40.20,2220000,0.88
Sep-06-2017,40.15,40.15,39.50,39.60,867600,-1.49
Sep-07-2017,40.10,40.40,39.80,40.00,676600,1.01
Sep-08-2017,40.40,40.40,39.70,39.80,1050000,-0.50
Sep-11-2017,39.80,40.40,39.80,40.20,1470000,1.01
Sep-13-2017,40.20,41.20,40.05,40.70,2200000,1.24
Sep-14-2017,40.70,41.10,40.10,40.10,1220000,-1.47
Sep-15-2017,40.50,40.90,40.05,40.90,2480000,2.00
Sep-18-2017,40.80,41.40,40.55,41.40,1810000,1.22
Sep-19-2017,41.40,41.45,41.00,41.15,1410000,-0.60
Sep-20-2017,41.30,41.30,41.05,41.10,717600,-0.12
Sep-21-2017,41.00,41.80,41.00,41.40,1050000,0.73
Sep-22-2017,41.80,42.05,41.55,41.55,1180000,0.36
Sep-25-2017,41.60,42.00,41.15,41.80,510100,0.60
Sep-26-2017,41.95,42.00,41.55,42.00,1190000,0.48
Sep-27-2017,42.00,42.75,41.80,42.75,3010000,1.79
Sep-28-2017,42.75,42.75,42.05,42.40,2570000,-0.82
Sep-29-2017,42.25,42.85,42.25,42.85,1400000,1.06
Oct-02-2017,42.50,42.90,42.00,42.25,1660000,-1.40
Oct-03-2017,41.85,43.05,41.85,42.90,2230000,1.54
Oct-04-2017,42.90,43.10,42.90,42.95,1070000,0.12
Oct-05-2017,43.00,43.00,42.45,42.75,663300,-0.47
Oct-06-2017,42.70,42.90,41.30,41.50,2150000,-2.92
Oct-09-2017,41.50,42.00,41.50,42.00,1060000,1.20
Oct-10-2017,42.30,42.30,42.00,42.00,395000,0.00
Oct-11-2017,42.20,42.30,41.60,41.75,506400,-0.60
Oct-12-2017,41.75,42.10,41.60,42.10,667100,0.84
Oct-13-2017,42.10,42.30,41.80,42.00,1200000,-0.24
Oct-17-2017,42.35,42.40,41.55,41.60,1070000,-0.95
Oct-18-2017,41.60,42.15,41.05,42.15,482100,1.32
Oct-19-2017,42.00,42.75,41.15,42.75,905900,1.42
Oct-20-2017,42.40,42.70,41.60,42.65,462400,-0.23
Oct-23-2017,42.65,42.65,42.00,42.55,1360000,-0.23
Oct-24-2017,42.60,42.70,41.60,41.65,563900,-2.12
Oct-25-2017,42.05,42.15,41.40,41.95,617300,0.72
Oct-26-2017,42.00,42.30,41.40,42.10,253100,0.36
Oct-27-2017,42.10,42.45,41.40,42.00,1060000,-0.24
Oct-30-2017,42.00,42.50,42.00,42.50,239400,1.19
Nov-02-2017,42.45,42.45,41.50,42.25,941800,-0.59
Nov-03-2017,42.25,42.75,40.50,40.50,1770000,-4.14
Nov-06-2017,41.20,41.50,41.00,41.15,1220000,1.60
Nov-07-2017,41.25,41.95,41.20,41.40,742100,0.61
Nov-08-2017,41.60,42.10,41.05,41.70,967600,0.72
