Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,91.46,92.14,91.46,91.66,1820000,-0.10
Nov-17-2016,91.71,94.62,91.66,92.78,1410000,1.22
Nov-18-2016,92.78,93.31,91.75,93.07,609840,0.31
Nov-21-2016,92.97,93.36,91.07,91.41,1160000,-1.78
Nov-22-2016,91.41,91.41,90.44,90.44,1440000,-1.06
Nov-23-2016,90.39,91.41,88.69,91.41,775460,1.07
Nov-24-2016,91.41,91.41,89.18,89.37,815530,-2.23
Nov-25-2016,89.47,89.47,87.72,88.01,1600000,-1.52
Nov-28-2016,87.82,88.98,87.62,88.01,2520000,0.00
Nov-29-2016,88.01,88.06,86.75,87.52,6150000,-0.56
Dec-01-2016,89.47,90.88,88.06,90.44,1090000,3.34
Dec-02-2016,90.93,90.93,88.11,89.03,1140000,-1.56
Dec-05-2016,90.44,90.44,87.23,87.52,3070000,-1.70
Dec-06-2016,87.62,87.82,87.38,87.52,2140000,0.00
Dec-07-2016,87.43,89.71,87.43,88.93,444720,1.61
Dec-08-2016,89.86,89.95,88.64,89.47,1790000,0.61
Dec-09-2016,90.15,90.15,88.79,88.89,2049999,-0.65
Dec-12-2016,88.89,89.27,84.61,84.61,2750000,-4.81
Dec-13-2016,84.70,85.68,84.61,85.58,1570000,1.15
Dec-14-2016,85.58,86.75,85.43,86.55,1540000,1.13
Dec-15-2016,86.55,87.43,85.04,87.04,2780000,0.57
Dec-16-2016,88.45,88.45,86.36,87.13,1410000,0.10
Dec-19-2016,87.72,87.72,83.54,83.54,1720000,-4.12
Dec-20-2016,83.54,84.61,83.15,84.61,1540000,1.28
Dec-21-2016,85.58,86.07,85.58,85.87,1500000,1.49
Dec-22-2016,85.87,85.87,84.80,85.82,1200000,-0.06
Dec-23-2016,85.58,85.87,84.70,85.00,973570,-0.96
Dec-27-2016,85.00,85.77,85.00,85.53,377960,0.62
Dec-28-2016,85.53,86.55,85.53,86.45,1110000,1.08
Dec-29-2016,86.50,86.65,86.11,86.36,1780000,-0.10
Jan-03-2017,86.11,86.45,85.00,86.07,1130000,-0.34
Jan-04-2017,86.55,87.91,86.26,87.52,2029999,1.68
Jan-05-2017,88.01,90.54,87.33,89.47,2860000,2.23
Jan-06-2017,89.47,89.95,89.37,89.47,1790000,0.00
Jan-09-2017,89.47,90.20,89.03,89.08,742360,-0.44
Jan-10-2017,88.98,89.95,88.98,89.86,649660,0.88
Jan-11-2017,89.91,90.30,89.23,89.71,449150,-0.17
Jan-12-2017,89.71,90.34,89.61,89.66,1610000,-0.06
Jan-13-2017,90.00,90.00,89.27,89.27,456080,-0.43
Jan-16-2017,89.37,89.95,88.50,88.69,791280,-0.65
Jan-17-2017,88.98,88.98,86.55,86.55,2580000,-2.41
Jan-18-2017,86.55,87.57,86.21,86.55,2420000,0.00
Jan-19-2017,89.95,89.95,87.43,87.48,1660000,1.07
Jan-20-2017,88.98,88.98,87.43,87.52,2660000,0.05
Jan-23-2017,87.52,88.98,87.33,88.50,1800000,1.12
Jan-24-2017,88.98,88.98,88.50,88.50,535790,0.00
Jan-25-2017,89.95,89.95,88.50,88.98,581010,0.54
Jan-26-2017,89.08,90.00,89.08,89.66,2220000,0.76
Jan-27-2017,89.95,90.00,89.66,89.76,783750,0.11
Jan-30-2017,89.95,89.95,89.57,89.57,519390,-0.21
Jan-31-2017,89.47,89.47,87.13,87.13,1220000,-2.72
Feb-01-2017,89.57,89.57,87.18,87.52,1130000,0.45
Feb-02-2017,87.52,88.98,87.52,88.50,2800000,1.12
Feb-03-2017,89.47,89.47,87.57,88.01,1790000,-0.55
Feb-06-2017,89.47,89.47,88.50,89.32,800820,1.49
Feb-07-2017,89.42,89.42,88.79,88.98,1880000,-0.38
Feb-08-2017,88.93,88.93,88.35,88.40,1900000,-0.65
Feb-09-2017,88.40,89.86,88.40,89.76,2940000,1.54
Feb-10-2017,89.86,90.64,89.76,90.44,8560000,0.76
Feb-13-2017,90.44,91.41,90.15,91.41,781010,1.07
Feb-14-2017,91.41,92.39,91.41,91.71,1190000,0.33
Feb-15-2017,91.71,92.24,89.47,90.05,1240000,-1.81
Feb-16-2017,90.15,92.39,90.15,92.19,2020000,2.38
Feb-17-2017,92.34,92.39,91.12,92.39,1420000,0.22
Feb-20-2017,92.39,92.58,91.90,92.53,1600000,0.15
Feb-21-2017,92.58,92.63,91.41,92.39,577200,-0.15
Feb-22-2017,92.19,92.73,91.61,91.61,1170000,-0.84
Feb-23-2017,91.61,93.55,91.61,93.36,1670000,1.91
Feb-24-2017,93.36,93.36,91.66,92.39,363410,-1.04
Feb-27-2017,92.43,93.12,92.43,92.97,609190,0.63
Feb-28-2017,93.07,93.07,91.41,91.41,1110000,-1.68
Mar-01-2017,91.41,92.19,91.17,91.95,1140000,0.59
Mar-02-2017,91.95,93.55,91.95,93.55,659650,1.74
Mar-03-2017,93.55,94.33,92.29,94.14,1450000,0.63
Mar-06-2017,94.33,95.79,93.41,95.30,688540,1.23
Mar-07-2017,95.40,97.01,95.30,96.76,3230000,1.53
Mar-08-2017,96.52,97.05,96.52,96.81,1820000,0.05
Mar-09-2017,96.81,96.81,96.13,96.28,1590000,-0.55
Mar-10-2017,95.55,95.74,94.82,94.82,1060000,-1.52
Mar-13-2017,94.82,95.30,94.77,94.91,559870,0.09
Mar-14-2017,95.16,95.30,94.62,94.91,613110,0.00
Mar-15-2017,94.38,96.18,94.38,96.18,843360,1.34
Mar-16-2017,95.16,96.52,95.16,96.23,354900,0.05
Mar-17-2017,94.82,100.17,94.82,99.58,3130000,3.48
Mar-20-2017,100.17,100.17,96.76,97.25,679410,-2.34
Mar-21-2017,97.05,99.19,97.05,97.25,1350000,0.00
Mar-22-2017,97.25,97.73,95.94,97.25,421000,0.00
Mar-23-2017,98.22,98.22,97.15,97.25,946110,0.00
Mar-24-2017,97.54,97.73,96.91,96.91,1910000,-0.35
Mar-27-2017,97.01,97.20,96.28,96.96,1090000,0.05
Mar-28-2017,96.96,99.19,96.91,99.19,1530000,2.30
Mar-29-2017,99.10,99.19,97.25,97.93,1060000,-1.27
Mar-30-2017,97.25,98.61,97.25,98.22,1180000,0.30
Mar-31-2017,98.22,98.51,98.12,98.42,1080000,0.20
Apr-03-2017,98.51,100.65,98.22,100.65,1110000,2.27
Apr-04-2017,100.65,103.08,100.65,102.60,4510000,1.94
Apr-05-2017,102.60,104.93,102.60,104.06,2140000,1.42
Apr-06-2017,103.86,104.06,102.79,102.99,1700000,-1.03
Apr-07-2017,102.11,104.06,102.11,102.40,2560000,-0.57
Apr-10-2017,101.14,103.08,100.75,102.40,820920,0.00
Apr-11-2017,102.11,102.21,101.72,101.92,693810,-0.47
Apr-12-2017,101.92,102.50,101.62,102.11,1710000,0.19
Apr-17-2017,102.11,102.89,102.01,102.21,514730,0.10
Apr-18-2017,102.31,103.18,101.72,103.18,336340,0.95
Apr-19-2017,104.06,104.06,101.24,103.08,1940000,-0.10
Apr-20-2017,102.79,103.08,102.79,102.89,572340,-0.18
Apr-21-2017,102.89,103.08,101.24,101.82,901300,-1.04
Apr-24-2017,101.82,102.11,101.72,101.92,170230,0.10
Apr-25-2017,101.82,102.99,101.82,102.01,1180000,0.09
Apr-26-2017,102.01,102.01,101.72,102.01,891920,0.00
Apr-27-2017,102.01,102.01,101.62,101.92,1080000,-0.09
May-02-2017,101.33,101.72,101.14,101.72,1260000,-0.20
May-03-2017,101.53,101.72,101.33,101.43,682530,-0.29
May-04-2017,101.14,102.31,101.14,101.92,1750000,0.48
May-05-2017,101.62,104.06,101.62,102.21,2180000,0.28
May-08-2017,102.99,104.06,102.21,103.08,2049999,0.85
May-09-2017,103.08,103.08,102.21,102.69,4560000,-0.38
May-10-2017,102.11,102.99,102.01,102.11,2620000,-0.56
May-11-2017,102.11,102.89,102.01,102.31,1800000,0.20
May-12-2017,102.21,104.06,101.14,103.76,1470000,1.42
May-15-2017,103.96,104.06,102.31,103.08,1050000,-0.66
May-16-2017,103.08,103.86,101.62,103.08,1880000,0.00
May-17-2017,103.08,104.15,102.99,102.99,1790000,-0.09
May-18-2017,102.31,103.47,102.11,103.08,1270000,0.09
May-19-2017,103.08,103.28,102.99,103.18,811550,0.10
May-22-2017,103.38,103.96,102.31,102.99,1560000,-0.18
May-23-2017,102.99,104.06,102.60,102.79,2200000,-0.19
May-24-2017,102.89,103.08,102.11,102.99,1240000,0.19
May-25-2017,102.99,102.99,102.11,102.89,1130000,-0.10
May-26-2017,102.99,103.08,101.72,102.50,2870000,-0.38
May-29-2017,102.50,103.08,102.11,102.60,560810,0.10
May-30-2017,102.60,103.08,102.60,102.60,1450000,0.00
May-31-2017,102.60,102.60,102.31,102.50,5810000,-0.10
Jun-01-2017,102.40,103.57,102.40,103.57,750340,1.04
Jun-02-2017,103.28,103.76,102.01,102.01,786710,-1.51
Jun-05-2017,102.89,103.67,102.11,103.67,1430000,1.63
Jun-06-2017,103.57,103.67,102.31,102.40,2590000,-1.23
Jun-07-2017,100.46,103.67,100.46,103.67,1330000,1.24
Jun-08-2017,102.21,103.08,101.33,102.99,1640000,-0.66
Jun-09-2017,101.14,103.18,101.14,102.99,1560000,0.00
Jun-13-2017,102.31,102.99,101.92,102.79,638850,-0.19
Jun-14-2017,102.31,103.38,102.31,103.38,1290000,0.57
Jun-15-2017,103.38,103.38,101.53,102.11,1350000,-1.23
