Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,210.40,218.00,209.20,209.40,1570000,0.67
Nov-17-2016,213.00,218.00,211.00,211.80,1190000,1.15
Nov-18-2016,214.00,215.00,209.00,209.00,1740000,-1.32
Nov-21-2016,210.00,215.40,210.00,212.00,466430,1.44
Nov-22-2016,213.80,216.00,210.20,216.00,770270,1.89
Nov-23-2016,216.00,216.00,208.60,210.00,620200,-2.78
Nov-24-2016,210.00,215.00,210.00,212.40,346590,1.14
Nov-25-2016,214.00,217.00,212.40,217.00,310700,2.17
Nov-28-2016,217.00,217.00,210.00,210.00,507180,-3.23
Nov-29-2016,209.40,215.80,209.00,215.80,1390000,2.76
Dec-01-2016,217.00,219.00,212.00,212.00,838780,-1.76
Dec-02-2016,215.00,219.00,212.20,219.00,465930,3.30
Dec-05-2016,218.60,218.60,212.80,212.80,159670,-2.83
Dec-06-2016,212.80,216.80,206.40,208.00,1550000,-2.26
Dec-07-2016,209.20,211.00,208.00,210.00,524850,0.96
Dec-08-2016,213.80,217.00,210.00,217.00,615570,3.33
Dec-09-2016,216.00,217.40,215.80,217.00,517220,0.00
Dec-12-2016,217.00,217.00,210.80,211.40,542630,-2.58
Dec-13-2016,211.40,215.20,210.20,215.00,601050,1.70
Dec-14-2016,212.40,214.80,210.00,210.00,590140,-2.33
Dec-15-2016,210.00,212.40,206.00,206.00,589500,-1.90
Dec-16-2016,207.00,209.00,205.00,205.00,634910,-0.49
Dec-19-2016,205.00,205.80,193.20,195.00,1260000,-4.88
Dec-20-2016,195.10,197.90,193.00,195.00,600480,0.00
Dec-21-2016,194.00,198.00,190.00,190.00,960260,-2.56
Dec-22-2016,190.00,192.00,184.60,185.50,1460000,-2.37
Dec-23-2016,186.00,190.90,185.00,190.60,725220,2.75
Dec-27-2016,191.50,196.00,191.00,193.70,176610,1.63
Dec-28-2016,195.00,200.00,194.00,200.00,444860,3.25
Dec-29-2016,199.30,200.40,194.00,194.00,615820,-3.00
Jan-03-2017,194.60,200.00,193.80,200.00,487890,3.09
Jan-04-2017,200.00,206.00,198.00,206.00,737800,3.00
Jan-05-2017,206.00,219.40,206.00,214.00,1130000,3.88
Jan-06-2017,214.20,215.20,210.20,213.00,632770,-0.47
Jan-09-2017,214.00,215.40,213.40,215.00,803570,0.94
Jan-10-2017,215.00,220.00,214.60,219.00,1110000,1.86
Jan-11-2017,220.00,220.00,217.60,219.60,755150,0.27
Jan-12-2017,219.60,219.80,214.00,214.00,461460,-2.55
Jan-13-2017,214.00,215.60,211.00,212.00,355890,-0.93
Jan-16-2017,212.00,215.00,209.00,209.00,413410,-1.42
Jan-17-2017,212.00,212.20,205.80,205.80,494420,-1.53
Jan-18-2017,206.00,208.00,202.20,203.00,435560,-1.36
Jan-19-2017,204.80,207.00,204.00,205.00,336040,0.99
