Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,3.800,3.960,3.750,3.750,38560000,-1.32
Nov-17-2016,3.760,3.870,3.740,3.740,24260000,-0.27
Nov-18-2016,3.780,3.870,3.760,3.850,14160000,2.94
Nov-21-2016,3.850,3.950,3.770,3.770,13050000,-2.08
Nov-22-2016,3.800,3.800,3.600,3.600,44720000,-4.51
Nov-23-2016,3.720,3.740,3.610,3.710,46460000,3.06
Nov-24-2016,3.700,3.890,3.700,3.850,57840000,3.77
Nov-25-2016,3.860,3.910,3.760,3.880,22450000,0.78
Nov-28-2016,3.880,3.910,3.770,3.800,28470000,-2.06
Nov-29-2016,3.800,3.810,3.650,3.680,47240000,-3.16
Dec-01-2016,3.790,3.830,3.710,3.710,29690000,0.82
Dec-02-2016,3.750,3.760,3.650,3.700,24250000,-0.27
Dec-05-2016,3.700,3.700,3.530,3.640,66000000,-1.62
Dec-06-2016,3.640,3.690,3.550,3.580,31620000,-1.65
Dec-07-2016,3.590,3.640,3.590,3.620,8790000,1.12
Dec-08-2016,3.650,3.780,3.640,3.680,74320000,1.66
Dec-09-2016,3.710,3.760,3.650,3.680,30870000,0.00
Dec-12-2016,3.720,3.720,3.510,3.580,36370000,-2.72
Dec-13-2016,3.580,3.600,3.480,3.600,49860000,0.56
Dec-14-2016,3.600,3.610,3.550,3.570,16350000,-0.83
Dec-15-2016,3.510,3.560,3.480,3.500,35120000,-1.96
Dec-16-2016,3.550,3.550,3.470,3.470,27180000,-0.86
Dec-19-2016,3.470,3.500,3.300,3.300,30360000,-4.90
Dec-20-2016,3.300,3.450,3.210,3.450,47470000,4.55
Dec-21-2016,3.460,3.640,3.430,3.640,36980000,5.51
Dec-22-2016,3.640,3.650,3.530,3.570,31720000,-1.92
Dec-23-2016,3.580,3.600,3.480,3.530,10640000,-1.12
Dec-27-2016,3.520,3.560,3.510,3.510,28360000,-0.57
Dec-28-2016,3.560,3.600,3.480,3.480,23010000,-0.85
Dec-29-2016,3.530,3.640,3.510,3.570,27630000,2.59
Jan-03-2017,3.570,3.580,3.510,3.540,16190000,-0.84
Jan-04-2017,3.560,3.740,3.540,3.670,77250000,3.67
Jan-05-2017,3.700,3.800,3.680,3.720,56170000,1.36
Jan-06-2017,3.770,3.840,3.730,3.750,41770000,0.81
Jan-09-2017,3.780,3.780,3.720,3.750,15700000,0.00
Jan-10-2017,3.750,3.980,3.750,3.920,71880000,4.53
Jan-11-2017,3.970,4.030,3.870,3.950,35900000,0.77
Jan-12-2017,3.990,4.000,3.860,3.870,33070000,-2.03
Jan-13-2017,3.870,3.910,3.780,3.780,31670000,-2.33
Jan-16-2017,3.780,3.830,3.770,3.780,13990000,0.00
Jan-17-2017,3.780,3.800,3.530,3.550,124750000,-6.08
Jan-18-2017,3.590,3.660,3.560,3.610,27380000,1.69
Jan-19-2017,3.660,3.720,3.650,3.690,41440000,2.22
Jan-20-2017,3.700,3.730,3.630,3.730,9940000,1.08
Jan-23-2017,3.730,3.800,3.730,3.730,35500000,0.00
Jan-24-2017,3.760,3.760,3.660,3.700,44360000,-0.80
Jan-25-2017,3.710,3.730,3.610,3.610,38250000,-2.43
Jan-26-2017,3.640,3.700,3.630,3.640,27480000,0.83
Jan-27-2017,3.650,3.690,3.630,3.640,29070000,0.00
Jan-30-2017,3.640,3.720,3.640,3.700,10910000,1.65
Jan-31-2017,3.710,3.710,3.610,3.670,25230000,-0.81
Feb-01-2017,3.670,3.670,3.610,3.620,18120000,-1.36
Feb-02-2017,3.630,3.710,3.630,3.650,25000000,0.83
Feb-03-2017,3.660,3.670,3.620,3.640,27490000,-0.27
Feb-06-2017,3.660,3.830,3.650,3.820,50520000,4.95
Feb-07-2017,3.830,3.900,3.830,3.860,23660000,1.05
Feb-08-2017,3.850,3.920,3.780,3.890,40620000,0.78
Feb-09-2017,3.890,3.890,3.800,3.840,11900000,-1.29
Feb-10-2017,3.840,3.850,3.690,3.710,31070000,-3.39
Feb-13-2017,3.720,3.760,3.710,3.760,18880000,1.35
Feb-14-2017,3.760,3.760,3.730,3.750,8940000,-0.27
Feb-15-2017,3.750,3.750,3.680,3.700,16440000,-1.33
Feb-16-2017,3.700,3.800,3.700,3.720,21710000,0.54
Feb-17-2017,3.770,3.770,3.710,3.730,45870000,0.27
Feb-20-2017,3.730,3.760,3.710,3.710,27760000,-0.54
Feb-21-2017,3.720,3.750,3.710,3.720,20100000,0.27
Feb-22-2017,3.720,3.750,3.650,3.650,22430000,-1.88
Feb-23-2017,3.670,3.710,3.660,3.680,20350000,0.82
Feb-24-2017,3.650,3.710,3.650,3.700,17690000,0.54
Feb-27-2017,3.700,3.710,3.670,3.700,12700000,0.00
Feb-28-2017,3.700,3.700,3.620,3.640,15340000,-1.62
Mar-01-2017,3.640,3.740,3.630,3.730,15610000,2.47
Mar-02-2017,3.750,3.750,3.650,3.740,12700000,0.27
Mar-03-2017,3.740,3.760,3.700,3.710,10180000,-0.80
Mar-06-2017,3.710,3.760,3.650,3.760,12710000,1.35
Mar-07-2017,3.760,3.770,3.730,3.740,9620000,-0.53
Mar-08-2017,3.750,3.780,3.710,3.760,10910000,0.53
Mar-09-2017,3.760,3.770,3.680,3.680,19700000,-2.13
Mar-10-2017,3.680,3.750,3.680,3.680,8109999,0.00
Mar-13-2017,3.690,3.710,3.600,3.630,19970000,-1.36
Mar-14-2017,3.650,3.690,3.620,3.640,30020000,0.28
Mar-15-2017,3.640,3.680,3.600,3.640,40890000,0.00
Mar-16-2017,3.640,3.720,3.600,3.610,11220000,-0.82
Mar-17-2017,3.640,3.670,3.590,3.590,53400000,-0.55
Mar-20-2017,3.600,3.630,3.580,3.590,13940000,0.00
