Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,275.60,282.00,275.40,282.00,87540,2.32
Nov-17-2016,282.00,283.00,278.60,281.00,184290,-0.35
Nov-18-2016,282.00,283.80,280.80,283.80,78240,1.00
Nov-21-2016,284.00,284.00,281.00,281.60,84300,-0.78
Nov-22-2016,282.20,282.20,273.00,273.20,355600,-2.98
Nov-23-2016,274.00,274.00,267.60,268.00,485120,-1.90
Nov-24-2016,269.00,273.40,268.00,268.00,143900,0.00
Nov-25-2016,268.20,272.60,265.40,266.00,186340,-0.75
Nov-28-2016,268.00,270.00,265.00,265.00,192280,-0.38
Nov-29-2016,265.00,270.00,265.00,265.00,120450,0.00
Dec-01-2016,265.40,271.60,257.00,257.00,778110,-3.02
Dec-02-2016,260.00,262.40,257.80,258.00,225940,0.39
Dec-05-2016,259.00,261.80,257.40,258.00,111180,0.00
Dec-06-2016,258.60,261.80,256.60,256.80,147500,-0.47
Dec-07-2016,258.00,261.00,257.20,257.60,95130,0.31
Dec-08-2016,261.00,263.20,260.00,260.80,296660,1.24
Dec-09-2016,261.80,265.40,261.60,263.00,330660,0.84
Dec-12-2016,265.40,270.00,259.80,260.00,274610,-1.14
Dec-13-2016,268.00,268.00,258.00,258.00,225640,-0.77
Dec-14-2016,258.40,263.20,258.40,261.80,144230,1.47
Dec-15-2016,262.80,262.80,258.00,258.00,261370,-1.45
Dec-16-2016,260.40,262.00,257.40,257.40,2990000,-0.23
Dec-19-2016,260.00,262.00,258.80,259.20,412330,0.70
Dec-20-2016,259.20,259.80,255.20,257.00,429990,-0.85
Dec-21-2016,260.00,260.40,257.00,259.20,223120,0.86
Dec-22-2016,260.00,260.00,258.40,259.00,74570,-0.08
Dec-23-2016,259.00,260.00,257.40,258.80,244220,-0.08
Dec-27-2016,261.00,266.00,261.00,265.40,222690,2.55
Dec-28-2016,266.60,269.80,266.60,266.60,151850,0.45
Dec-29-2016,269.00,269.00,263.20,265.00,152480,-0.60
Jan-03-2017,265.20,270.60,265.00,270.00,133560,1.89
Jan-04-2017,270.00,277.00,270.00,277.00,542540,2.59
Jan-05-2017,277.20,282.00,277.20,279.40,662620,0.87
Jan-06-2017,279.40,280.00,277.00,277.60,439750,-0.64
Jan-09-2017,277.60,280.00,277.40,277.80,98770,0.07
Jan-10-2017,279.60,288.00,278.00,288.00,365100,3.67
Jan-11-2017,288.00,290.00,281.00,282.80,195870,-1.81
Jan-12-2017,282.80,284.00,278.20,278.80,239220,-1.41
Jan-13-2017,278.80,283.40,276.80,278.00,218570,-0.29
Jan-16-2017,281.60,281.60,276.60,276.80,304950,-0.43
Jan-17-2017,277.00,277.80,269.60,272.00,582140,-1.73
Jan-18-2017,272.40,279.20,272.40,278.80,267780,2.50
Jan-19-2017,279.40,285.00,279.40,284.00,352180,1.87
Jan-20-2017,284.00,285.00,283.80,284.40,114500,0.14
Jan-23-2017,284.40,287.80,284.40,287.00,287380,0.91
Jan-24-2017,287.00,288.00,285.00,286.20,194880,-0.28
Jan-25-2017,286.20,291.00,286.00,289.00,426710,0.98
Jan-26-2017,290.00,290.00,285.00,285.00,167880,-1.38
Jan-27-2017,288.00,288.00,283.00,285.00,140680,0.00
Jan-30-2017,285.00,287.00,285.00,286.20,28880,0.42
Jan-31-2017,286.20,287.00,282.00,284.80,38590,-0.49
Feb-01-2017,285.00,285.60,284.00,285.00,39320,0.07
Feb-02-2017,285.00,286.00,284.00,284.00,83160,-0.35
Feb-03-2017,285.00,289.60,284.00,289.60,248380,1.97
Feb-06-2017,289.20,289.40,285.20,285.40,188480,-1.45
Feb-07-2017,286.00,288.60,285.80,286.00,101350,0.21
Feb-08-2017,288.00,290.00,285.40,288.60,222700,0.91
Feb-09-2017,288.00,289.20,286.40,289.20,189060,0.21
Feb-10-2017,290.00,293.00,290.00,290.00,301200,0.28
Feb-13-2017,290.20,296.80,289.40,295.20,419750,1.79
Feb-14-2017,295.20,295.60,293.00,295.00,176590,-0.07
Feb-15-2017,295.00,295.00,290.00,290.00,167160,-1.69
Feb-16-2017,290.00,291.00,289.00,289.00,284850,-0.34
Feb-17-2017,289.00,289.20,286.00,287.40,259290,-0.55
Feb-20-2017,287.60,288.80,286.60,286.60,282110,-0.28
Feb-21-2017,286.60,289.40,285.40,287.20,222610,0.21
Feb-22-2017,288.80,292.00,287.80,289.00,415100,0.63
Feb-23-2017,290.00,293.80,290.00,293.00,242870,1.38
Feb-24-2017,293.00,293.00,288.40,290.00,364390,-1.02
