Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,40.850,40.950,39.050,39.050,2870000,-4.52
Nov-17-2016,39.800,40.500,39.500,39.800,4350000,1.92
Nov-18-2016,40.000,40.050,39.900,40.000,3900000,0.50
Nov-21-2016,40.200,40.200,39.900,40.000,2140000,0.00
Nov-22-2016,40.000,40.000,39.500,39.500,460800,-1.25
Nov-23-2016,39.550,40.000,39.500,39.500,329000,0.00
Nov-24-2016,39.250,40.500,38.500,40.000,1590000,1.27
Nov-25-2016,38.900,40.000,38.900,39.300,1660000,-1.75
Nov-28-2016,39.300,39.950,39.100,39.950,126900,1.65
Nov-29-2016,39.100,39.400,38.950,39.050,307600,-2.25
Dec-01-2016,39.100,40.000,39.100,40.000,376700,2.43
Dec-02-2016,40.000,40.000,38.800,39.700,1400000,-0.75
Dec-05-2016,39.800,39.800,38.800,39.000,1520000,-1.76
Dec-06-2016,39.500,39.500,38.500,38.500,590600,-1.28
Dec-07-2016,38.700,39.000,38.500,38.500,314700,0.00
Dec-08-2016,38.600,39.800,38.600,38.600,1330000,0.26
Dec-09-2016,38.750,39.050,38.700,39.000,1220000,1.04
Dec-12-2016,39.900,39.900,39.000,39.700,154700,1.79
Dec-13-2016,39.700,39.700,38.700,39.000,1020000,-1.76
Dec-14-2016,39.100,39.100,38.600,38.850,310000,-0.38
Dec-15-2016,39.650,39.650,38.900,39.600,420400,1.93
Dec-16-2016,39.000,39.050,38.000,38.000,1870000,-4.04
Dec-19-2016,38.000,38.400,37.300,37.750,2110000,-0.66
Dec-20-2016,37.750,37.900,36.800,37.050,2270000,-1.85
Dec-21-2016,36.500,37.800,36.500,36.950,633300,-0.27
Dec-22-2016,36.950,38.700,36.000,36.000,2740000,-2.57
Dec-23-2016,36.500,36.950,36.000,36.000,472700,0.00
Dec-27-2016,36.710,37.658,36.710,37.309,279200,3.64
Dec-28-2016,37.708,38.057,37.309,37.907,1190000,1.60
Dec-29-2016,38.057,38.905,37.907,38.905,1070000,2.63
Jan-03-2017,39.404,39.404,38.406,38.755,1320000,-0.39
Jan-04-2017,38.755,39.404,38.755,39.204,991800,1.16
Jan-05-2017,39.254,39.902,38.855,39.404,3660000,0.51
Jan-06-2017,40.102,41.099,39.803,40.900,1350000,3.80
Jan-09-2017,41.000,41.000,40.500,40.850,421400,-0.12
Jan-10-2017,40.600,41.350,40.000,40.900,1790000,0.12
Jan-11-2017,40.900,41.550,40.800,41.550,541600,1.59
Jan-12-2017,41.300,41.300,40.400,40.900,1090000,-1.56
Jan-13-2017,40.900,41.100,39.600,40.800,2500000,-0.24
Jan-16-2017,40.800,40.950,40.000,40.100,329500,-1.72
Jan-17-2017,40.100,40.150,39.000,39.000,3300000,-2.74
Jan-18-2017,39.000,40.000,39.000,40.000,1360000,2.56
Jan-19-2017,40.000,40.050,39.500,39.500,1060000,-1.25
Jan-20-2017,40.350,42.100,40.250,41.900,1540000,6.08
Jan-23-2017,41.900,43.500,41.900,43.000,2110000,2.63
Jan-24-2017,43.000,43.200,42.800,43.000,2220000,0.00
Jan-25-2017,43.000,43.150,42.000,42.000,1200000,-2.33
Jan-26-2017,42.950,44.800,42.900,44.250,4110000,5.36
Jan-27-2017,44.250,45.000,44.250,44.250,1360000,0.00
Jan-30-2017,44.250,44.750,43.100,43.750,475500,-1.13
Jan-31-2017,43.750,44.200,43.050,43.200,2220000,-1.26
Feb-01-2017,43.050,43.800,43.050,43.300,471200,0.23
Feb-02-2017,43.350,44.050,43.000,43.000,4350000,-0.69
Feb-03-2017,43.500,43.800,43.400,43.500,1180000,1.16
Feb-06-2017,44.000,44.000,43.500,43.850,1090000,0.80
Feb-07-2017,43.850,45.000,43.850,44.800,1630000,2.17
Feb-08-2017,44.800,45.500,44.550,44.650,3650000,-0.33
Feb-09-2017,44.650,44.750,44.000,44.200,117200,-1.01
Feb-10-2017,44.200,44.500,44.150,44.200,445400,0.00
Feb-13-2017,44.200,44.200,43.900,44.000,1700000,-0.45
Feb-14-2017,44.000,44.450,43.900,44.050,1740000,0.11
Feb-15-2017,44.050,45.000,44.000,44.450,2009999,0.91
Feb-16-2017,44.450,44.850,44.200,44.850,724100,0.90
Feb-17-2017,44.850,44.850,44.500,44.500,417800,-0.78
Feb-20-2017,44.450,45.050,44.450,44.900,7470000,0.90
Feb-21-2017,45.000,45.000,44.300,44.400,1300000,-1.11
Feb-22-2017,44.900,47.300,44.350,46.000,22020000,3.60
Feb-23-2017,46.200,46.900,46.200,46.200,6120000,0.43
Feb-24-2017,46.200,46.500,45.950,46.200,3020000,0.00
Feb-27-2017,46.200,46.700,46.000,46.300,2430000,0.22
Feb-28-2017,46.300,46.400,46.000,46.000,4080000,-0.65
Mar-01-2017,46.050,46.400,46.000,46.100,5740000,0.22
Mar-02-2017,46.100,46.300,45.800,46.000,1560000,-0.22
Mar-03-2017,46.000,46.000,45.450,45.500,1880000,-1.09
Mar-06-2017,45.500,46.000,45.050,45.050,9990000,-0.99
Mar-07-2017,45.100,45.300,44.200,44.500,2300000,-1.22
Mar-08-2017,44.200,44.200,42.900,43.600,9240000,-2.02
