Date,Open,High,Low,Close,Volume,Change %
Nov-16-2016,1350.00,1380.00,1339.00,1356.00,200220,1.19
Nov-17-2016,1375.00,1405.00,1360.00,1395.00,135410,2.88
Nov-18-2016,1399.00,1405.00,1369.00,1379.00,110380,-1.15
Nov-21-2016,1380.00,1381.00,1340.00,1340.00,152720,-2.83
Nov-22-2016,1348.00,1348.00,1295.00,1295.00,166730,-3.36
Nov-23-2016,1299.00,1365.00,1297.00,1365.00,98330,5.41
Nov-24-2016,1360.00,1360.00,1321.00,1323.00,125970,-3.08
Nov-25-2016,1323.00,1340.00,1320.00,1324.00,117780,0.08
Nov-28-2016,1324.00,1352.00,1321.00,1352.00,119780,2.11
Nov-29-2016,1342.00,1342.00,1266.00,1266.00,1590000,-6.36
Dec-01-2016,1292.00,1320.00,1292.00,1300.00,441840,2.69
Dec-02-2016,1296.00,1307.00,1270.00,1270.00,112020,-2.31
Dec-05-2016,1273.00,1292.00,1260.00,1280.00,169490,0.79
Dec-06-2016,1283.00,1301.00,1281.00,1289.00,78840,0.70
Dec-07-2016,1294.00,1315.00,1290.00,1315.00,80930,2.02
Dec-08-2016,1327.00,1376.00,1327.00,1370.00,264660,4.18
Dec-09-2016,1375.00,1386.00,1349.00,1370.00,153050,0.00
Dec-12-2016,1370.00,1370.00,1310.00,1314.00,206120,-4.09
Dec-13-2016,1316.00,1332.00,1314.00,1320.00,164710,0.46
Dec-14-2016,1335.00,1345.00,1334.00,1339.00,190760,1.44
Dec-15-2016,1339.00,1339.00,1310.00,1318.00,111300,-1.57
Dec-16-2016,1340.00,1352.00,1335.00,1350.00,529630,2.43
Dec-19-2016,1348.00,1350.00,1321.00,1350.00,91070,0.00
Dec-20-2016,1349.00,1349.00,1289.00,1300.00,102300,-3.70
Dec-21-2016,1316.00,1345.00,1310.00,1336.00,149730,2.77
Dec-22-2016,1314.00,1341.00,1310.00,1341.00,48650,0.37
Dec-23-2016,1321.00,1322.00,1306.00,1313.00,72150,-2.09
Dec-27-2016,1330.00,1335.00,1306.00,1310.00,37350,-0.23
Dec-28-2016,1328.00,1354.00,1315.00,1354.00,43990,3.36
Dec-29-2016,1375.00,1382.00,1352.00,1365.00,125620,0.81
Jan-03-2017,1365.00,1378.00,1360.00,1370.00,100220,0.37
Jan-04-2017,1379.00,1463.00,1379.00,1463.00,161570,6.79
Jan-05-2017,1459.00,1516.00,1458.00,1488.00,220560,1.71
Jan-06-2017,1453.00,1488.00,1452.00,1474.00,193890,-0.94
Jan-09-2017,1475.00,1539.00,1475.00,1536.00,187620,4.21
Jan-10-2017,1540.00,1618.00,1540.00,1590.00,271570,3.52
Jan-11-2017,1600.00,1605.00,1520.00,1565.00,157280,-1.57
Jan-12-2017,1565.00,1601.00,1500.00,1500.00,198010,-4.15
Jan-13-2017,1500.00,1507.00,1463.00,1481.00,196620,-1.27
Jan-16-2017,1480.00,1539.00,1468.00,1482.00,57640,0.07
Jan-17-2017,1485.00,1500.00,1435.00,1440.00,141980,-2.83
Jan-18-2017,1448.00,1491.00,1448.00,1490.00,35510,3.47
Jan-19-2017,1480.00,1519.00,1479.00,1505.00,98520,1.01
Jan-20-2017,1505.00,1540.00,1490.00,1507.00,42420,0.13
Jan-23-2017,1491.00,1535.00,1490.00,1518.00,50920,0.73
Jan-24-2017,1518.00,1554.00,1504.00,1526.00,85800,0.53
Jan-25-2017,1526.00,1543.00,1490.00,1490.00,113850,-2.36
Jan-26-2017,1488.00,1498.00,1457.00,1461.00,164680,-1.95
Jan-27-2017,1465.00,1501.00,1464.00,1495.00,53230,2.33
Jan-30-2017,1490.00,1520.00,1490.00,1513.00,35320,1.20
Jan-31-2017,1515.00,1516.00,1470.00,1470.00,54080,-2.84
Feb-01-2017,1497.00,1503.00,1440.00,1450.00,81580,-1.36
Feb-02-2017,1470.00,1492.00,1435.00,1450.00,59010,0.00
Feb-03-2017,1454.00,1483.00,1454.00,1480.00,113240,2.07
Feb-06-2017,1481.00,1505.00,1481.00,1500.00,98790,1.35
Feb-07-2017,1500.00,1500.00,1480.00,1500.00,51120,0.00
Feb-08-2017,1497.00,1497.00,1450.00,1451.00,111810,-3.27
Feb-09-2017,1468.00,1535.00,1467.00,1515.00,362010,4.41
Feb-10-2017,1500.00,1535.00,1491.00,1520.00,91800,0.33
Feb-13-2017,1514.00,1530.00,1489.00,1505.00,130080,-0.99
Feb-14-2017,1505.00,1505.00,1457.00,1471.00,144110,-2.26
Feb-15-2017,1476.00,1477.00,1450.00,1450.00,124970,-1.43
Feb-16-2017,1455.00,1500.00,1455.00,1495.00,108160,3.10
Feb-17-2017,1500.00,1500.00,1451.00,1455.00,110590,-2.68
Feb-20-2017,1457.00,1461.00,1451.00,1457.00,79180,0.14
Feb-21-2017,1463.00,1463.00,1430.00,1430.00,126610,-1.85
Feb-22-2017,1433.00,1449.00,1402.00,1418.00,104950,-0.84
Feb-23-2017,1418.00,1443.00,1415.00,1418.00,58140,0.00
Feb-24-2017,1418.00,1440.00,1400.00,1400.00,111540,-1.27
Feb-27-2017,1417.00,1435.00,1400.00,1400.00,52640,0.00
Feb-28-2017,1419.00,1460.00,1386.00,1460.00,100470,4.29
Mar-01-2017,1430.00,1431.00,1400.00,1400.00,106430,-4.11
Mar-02-2017,1420.00,1449.00,1404.00,1425.00,88930,1.79
Mar-03-2017,1425.00,1463.00,1425.00,1447.00,70770,1.54
Mar-06-2017,1450.00,1476.00,1450.00,1470.00,73650,1.59
Mar-07-2017,1470.00,1482.00,1430.00,1454.00,174510,-1.09
Mar-08-2017,1470.00,1550.00,1469.00,1550.00,360440,6.60
Mar-09-2017,1552.00,1599.00,1552.00,1575.00,235360,1.61
Mar-10-2017,1579.00,1579.00,1535.00,1535.00,117120,-2.54
Mar-13-2017,1535.00,1546.00,1521.00,1525.00,131740,-0.65
Mar-14-2017,1525.00,1528.00,1519.00,1521.00,157550,-0.26
Mar-15-2017,1534.00,1559.00,1521.00,1521.00,180380,0.00
Mar-16-2017,1543.00,1545.00,1500.00,1500.00,141810,-1.38
Mar-17-2017,1529.00,1560.00,1504.00,1512.00,299920,0.80
Mar-20-2017,1542.00,1542.00,1502.00,1530.00,52220,1.19
Mar-21-2017,1540.00,1546.00,1527.00,1536.00,156320,0.39
Mar-22-2017,1535.00,1535.00,1516.00,1518.00,83210,-1.17
Mar-23-2017,1536.00,1549.00,1520.00,1545.00,66220,1.78
Mar-24-2017,1548.00,1570.00,1540.00,1570.00,68610,1.62
Mar-27-2017,1563.00,1619.00,1541.00,1619.00,166840,3.12
Mar-28-2017,1615.00,1640.00,1586.00,1640.00,119130,1.30
Mar-29-2017,1622.00,1655.00,1605.00,1624.00,69270,-0.98
Mar-30-2017,1620.00,1620.00,1599.00,1606.00,76590,-1.11
Mar-31-2017,1605.00,1647.00,1599.00,1646.00,208370,2.49
Apr-03-2017,1645.00,1666.00,1626.00,1658.00,108280,0.73
Apr-04-2017,1664.00,1698.00,1661.00,1693.00,199600,2.11
Apr-05-2017,1698.00,1746.00,1698.00,1746.00,250720,3.13
Apr-06-2017,1745.00,1748.00,1705.00,1719.00,154380,-1.55
Apr-07-2017,1719.00,1771.00,1717.00,1730.00,188020,0.64
Apr-10-2017,1743.00,1755.00,1713.00,1755.00,86730,1.45
Apr-11-2017,1761.00,1790.00,1761.00,1770.00,227270,0.85
Apr-12-2017,1771.00,1787.00,1765.00,1780.00,111820,0.56
Apr-17-2017,1764.00,1769.00,1725.00,1748.00,81640,-1.80
Apr-18-2017,1760.00,1799.00,1759.00,1760.00,115780,0.69
Apr-19-2017,1770.00,1775.00,1695.00,1700.00,275130,-3.41
Apr-20-2017,1670.00,1680.00,1645.00,1680.00,118070,-1.18
Apr-21-2017,1680.00,1718.00,1676.00,1698.00,94970,1.07
Apr-24-2017,1705.00,1722.00,1704.00,1720.00,45740,1.30
Apr-25-2017,1720.00,1765.00,1710.00,1765.00,89950,2.62
Apr-26-2017,1758.00,1795.00,1733.00,1795.00,129900,1.70
Apr-27-2017,1794.00,1794.00,1759.00,1770.00,103220,-1.39
May-02-2017,1768.00,1768.00,1740.00,1740.00,103230,-1.69
May-03-2017,1767.00,1767.00,1710.00,1728.00,103250,-0.69
May-04-2017,1735.00,1746.00,1728.00,1739.00,75950,0.64
May-05-2017,1735.00,1797.00,1735.00,1768.00,232950,1.67
May-08-2017,1771.00,1810.00,1768.00,1810.00,119370,2.38
May-09-2017,1802.00,1808.00,1764.00,1765.00,127430,-2.49
May-10-2017,1759.00,1767.00,1742.00,1765.00,176050,0.00
May-11-2017,1765.00,1770.00,1722.00,1722.00,155020,-2.44
May-12-2017,1720.00,1755.00,1645.00,1755.00,283790,1.92
May-15-2017,1753.00,1753.00,1669.00,1679.00,230880,-4.33
May-16-2017,1650.00,1655.00,1621.00,1631.00,201890,-2.86
May-17-2017,1631.00,1670.00,1621.00,1645.00,108760,0.86
May-18-2017,1627.00,1630.00,1610.00,1610.00,108730,-2.13
May-19-2017,1610.00,1618.00,1602.00,1610.00,101520,0.00
May-22-2017,1638.00,1640.00,1622.00,1627.00,95220,1.06
May-23-2017,1636.00,1638.00,1625.00,1630.00,103880,0.18
May-24-2017,1620.00,1620.00,1602.00,1615.00,75890,-0.92
May-25-2017,1655.00,1718.00,1642.00,1718.00,128830,6.38
May-26-2017,1710.00,1747.00,1687.00,1744.00,170990,1.51
May-29-2017,1740.00,1766.00,1720.00,1755.00,161160,0.63
May-30-2017,1755.00,1768.00,1727.00,1760.00,110740,0.28
May-31-2017,1727.00,1750.00,1699.00,1728.00,948900,-1.82
Jun-01-2017,1736.00,1818.00,1736.00,1816.00,319080,5.09
Jun-02-2017,1810.00,1860.00,1806.00,1830.00,397420,0.77
Jun-05-2017,1825.00,1890.00,1825.00,1868.00,145720,2.08
Jun-06-2017,1869.00,1880.00,1835.00,1870.00,215280,0.11
Jun-07-2017,1866.00,1915.00,1856.00,1900.00,296600,1.60
Jun-08-2017,1897.00,1897.00,1850.00,1873.00,103220,-1.42
Jun-09-2017,1873.00,1894.00,1870.00,1881.00,115300,0.43
Jun-13-2017,1878.00,1878.00,1821.00,1850.00,216890,-1.65
Jun-14-2017,1856.00,1915.00,1847.00,1905.00,232700,2.97
Jun-15-2017,1892.00,1944.00,1892.00,1920.00,372520,0.79
Jun-16-2017,1920.00,1924.00,1861.00,1900.00,2480000,-1.04
Jun-19-2017,1890.00,1900.00,1866.00,1890.00,103850,-0.53
Jun-20-2017,1893.00,1910.00,1860.00,1870.00,43210,-1.06
Jun-21-2017,1859.00,1859.00,1814.00,1825.00,194470,-2.41
Jun-22-2017,1825.00,1825.00,1815.00,1815.00,42050,-0.55
Jun-23-2017,1825.00,1838.00,1820.00,1829.00,87660,0.77
Jun-27-2017,1827.00,1878.00,1827.00,1867.00,73430,2.08
Jun-28-2017,1863.00,1873.00,1854.00,1867.00,132140,0.00
Jun-29-2017,1860.00,1870.00,1800.00,1800.00,104310,-3.59
Jun-30-2017,1794.00,1798.00,1760.00,1798.00,155860,-0.11
Jul-03-2017,1796.00,1796.00,1754.00,1770.00,97260,-1.56
Jul-04-2017,1768.00,1796.00,1768.00,1770.00,13090,0.00
Jul-05-2017,1770.00,1775.00,1750.00,1767.00,96690,-0.17
Jul-06-2017,1770.00,1770.00,1759.00,1761.00,203000,-0.34
Jul-07-2017,1768.00,1768.00,1755.00,1759.00,42440,-0.11
Jul-10-2017,1759.00,1759.00,1701.00,1701.00,106390,-3.30
Jul-11-2017,1701.00,1727.00,1700.00,1710.00,135310,0.53
Jul-12-2017,1718.00,1757.00,1718.00,1726.00,95400,0.94
Jul-13-2017,1745.00,1761.00,1700.00,1700.00,134800,-1.51
Jul-14-2017,1739.00,1739.00,1699.00,1720.00,140300,1.18
Jul-17-2017,1736.00,1740.00,1715.00,1725.00,132590,0.29
Jul-18-2017,1720.00,1730.00,1661.00,1665.00,171460,-3.48
Jul-19-2017,1690.00,1700.00,1670.00,1680.00,140960,0.90
Jul-20-2017,1685.00,1699.00,1662.00,1665.00,130780,-0.89
Jul-21-2017,1660.00,1700.00,1655.00,1700.00,156300,2.10
Jul-24-2017,1700.00,1710.00,1680.00,1690.00,68360,-0.59
Jul-25-2017,1700.00,1703.00,1691.00,1698.00,115660,0.47
Jul-26-2017,1700.00,1729.00,1700.00,1709.00,198270,0.65
Jul-27-2017,1709.00,1719.00,1696.00,1696.00,88310,-0.76
Jul-28-2017,1710.00,1710.00,1693.00,1700.00,69340,0.24
Jul-31-2017,1701.00,1701.00,1620.00,1637.00,277750,-3.71
Aug-01-2017,1636.00,1636.00,1603.00,1603.00,109650,-2.08
Aug-02-2017,1631.00,1656.00,1603.00,1603.00,238250,0.00
Aug-03-2017,1621.00,1630.00,1609.00,1610.00,73830,0.44
Aug-04-2017,1635.00,1648.00,1615.00,1630.00,76210,1.24
Aug-07-2017,1638.00,1648.00,1638.00,1640.00,46740,0.61
Aug-08-2017,1649.00,1658.00,1641.00,1658.00,89740,1.10
Aug-09-2017,1658.00,1663.00,1620.00,1635.00,87480,-1.39
Aug-10-2017,1669.00,1717.00,1640.00,1712.00,216440,4.71
Aug-11-2017,1716.00,1744.00,1690.00,1740.00,105470,1.64
Aug-14-2017,1734.00,1743.00,1720.00,1730.00,129009,-0.57
Aug-15-2017,1730.00,1746.00,1726.00,1740.00,36580,0.58
Aug-16-2017,1740.00,1749.00,1720.00,1740.00,60090,0.00
Aug-17-2017,1751.00,1780.00,1743.00,1760.00,105310,1.15
Aug-18-2017,1757.00,1777.00,1732.00,1732.00,109990,-1.59
Aug-22-2017,1728.00,1728.00,1690.00,1710.00,34650,-1.27
Aug-23-2017,1711.00,1730.00,1711.00,1730.00,25230,1.17
Aug-24-2017,1730.00,1732.00,1715.00,1732.00,47150,0.12
Aug-25-2017,1734.00,1745.00,1734.00,1743.00,21410,0.64
Aug-29-2017,1743.00,1743.00,1700.00,1700.00,77190,-2.47
Aug-30-2017,1703.00,1715.00,1665.00,1710.00,105640,0.59
Aug-31-2017,1710.00,1730.00,1691.00,1730.00,71800,1.17
Sep-04-2017,1730.00,1750.00,1710.00,1750.00,67420,1.16
Sep-05-2017,1750.00,1755.00,1730.00,1755.00,56950,0.29
Sep-06-2017,1740.00,1740.00,1720.00,1720.00,166850,-1.99
Sep-07-2017,1723.00,1750.00,1721.00,1724.00,70730,0.23
Sep-08-2017,1720.00,1729.00,1688.00,1695.00,74760,-1.68
Sep-11-2017,1695.00,1700.00,1683.00,1686.00,47300,-0.53
Sep-13-2017,1716.00,1716.00,1676.00,1680.00,67830,-0.36
Sep-14-2017,1680.00,1703.00,1678.00,1684.00,134300,0.24
Sep-15-2017,1684.00,1705.00,1681.00,1690.00,206080,0.36
Sep-18-2017,1710.00,1710.00,1690.00,1704.00,43260,0.83
Sep-19-2017,1704.00,1718.00,1659.00,1660.00,121570,-2.58
Sep-20-2017,1668.00,1676.00,1660.00,1660.00,52780,0.00
Sep-21-2017,1675.00,1688.00,1665.00,1684.00,88130,1.45
Sep-22-2017,1680.00,1682.00,1676.00,1680.00,65340,-0.24
